	gene_short_name
Gm29601	Gm29601
4930533P14Rik	4930533P14Rik
Slco4c1	Slco4c1
Panct2	Panct2
Gm28901	Gm28901
Slco6c1	Slco6c1
D1Ertd622e	D1Ertd622e
Ppip5k2	Ppip5k2
Gin1	Gin1
Pam	Pam
1810006J02Rik	1810006J02Rik
Gm29461	Gm29461
Slco6d1	Slco6d1
Gm7967	Gm7967
Cntnap5b	Cntnap5b
Gm20268	Gm20268
Gm28187	Gm28187
Cdh20	Cdh20
Gm15699	Gm15699
Gm29012	Gm29012
Rnf152	Rnf152
Gm17634	Gm17634
Pign	Pign
2310035C23Rik	2310035C23Rik
Tnfrsf11a	Tnfrsf11a
Gm7160	Gm7160
Zcchc2	Zcchc2
Gm20753	Gm20753
Phlpp1	Phlpp1
A530053M12Rik	A530053M12Rik
Bcl2	Bcl2
D630008O14Rik	D630008O14Rik
Kdsr	Kdsr
Vps4b	Vps4b
Serpinb5	Serpinb5
Serpinb12	Serpinb12
Serpinb13	Serpinb13
Serpinb3a	Serpinb3a
Serpinb3d	Serpinb3d
Serpinb3b	Serpinb3b
Serpinb3c	Serpinb3c
Serpinb11	Serpinb11
Gm15391	Gm15391
Serpinb7	Serpinb7
Serpinb2	Serpinb2
Serpinb10	Serpinb10
Serpinb8	Serpinb8
Gm15389	Gm15389
D830032E09Rik	D830032E09Rik
Cdh7	Cdh7
Cdh19	Cdh19
Gm29088	Gm29088
Dsel	Dsel
Gm28189	Gm28189
9330185C12Rik	9330185C12Rik
Cntnap5a	Cntnap5a
Gm19965	Gm19965
Zfp813-ps	Zfp813-ps
Gm28363	Gm28363
B020011L13Rik	B020011L13Rik
Gm28360	Gm28360
Gm28168	Gm28168
Gm7145	Gm7145
Gm29106	Gm29106
Tsn	Tsn
Nifk	Nifk
Gm28867	Gm28867
Clasp1	Clasp1
2900060B14Rik	2900060B14Rik
Tfcp2l1	Tfcp2l1
Gli2	Gli2
Gm26831	Gm26831
Gm29456	Gm29456
Gm29455	Gm29455
Inhbb	Inhbb
Ralb	Ralb
Gm27184	Gm27184
Tmem185b	Tmem185b
3830432H09Rik	3830432H09Rik
Epb41l5	Epb41l5
Ptpn4	Ptpn4
Gm28209	Gm28209
Tmem177	Tmem177
Cfap221	Cfap221
Sctr	Sctr
Tmem37	Tmem37
Dbi	Dbi
3110009E18Rik	3110009E18Rik
Steap3	Steap3
C1ql2	C1ql2
1700012E03Rik	1700012E03Rik
Marco	Marco
En1	En1
2610027F03Rik	2610027F03Rik
Gm29346	Gm29346
Gm29345	Gm29345
Gm29348	Gm29348
Gm29347	Gm29347
Celrr	Celrr
Gm29359	Gm29359
Insig2	Insig2
2210011K15Rik	2210011K15Rik
Ccdc93	Ccdc93
Gm15392	Gm15392
Htr5b	Htr5b
Ddx18	Ddx18
Gm28590	Gm28590
Dpp10	Dpp10
Gm28928	Gm28928
1700121L03Rik	1700121L03Rik
Actr3	Actr3
Gm28706	Gm28706
Slc35f5	Slc35f5
Gpr39	Gpr39
Lypd1	Lypd1
Nckap5	Nckap5
4930599A14Rik	4930599A14Rik
Mgat5	Mgat5
Tmem163	Tmem163
Acmsd	Acmsd
2900009J06Rik	2900009J06Rik
Ccnt2	Ccnt2
Map3k19	Map3k19
Rab3gap1	Rab3gap1
Zranb3	Zranb3
Gm28800	Gm28800
R3hdm1	R3hdm1
Ubxn4	Ubxn4
Lct	Lct
Mcm6	Mcm6
Dars	Dars
Cxcr4	Cxcr4
Gm26686	Gm26686
Thsd7b	Thsd7b
Gm16081	Gm16081
Cd55b	Cd55b
Gm15674	Gm15674
Gm15675	Gm15675
Cd55	Cd55
Gm16083	Gm16083
Zp3r	Zp3r
C4bp	C4bp
Gm29427	Gm29427
Pfkfb2	Pfkfb2
Yod1	Yod1
AA986860	AA986860
Gm28857	Gm28857
Gm28856	Gm28856
Fcamr	Fcamr
Gm15848	Gm15848
Pigr	Pigr
Fcmr	Fcmr
Il24	Il24
Il20	Il20
Il19	Il19
Il10	Il10
Mapkapk2	Mapkapk2
Dyrk3	Dyrk3
Eif2d	Eif2d
Rassf5	Rassf5
Ikbke	Ikbke
Gm28914	Gm28914
Gm28913	Gm28913
Srgap2	Srgap2
Fam72a	Fam72a
Avpr1b	Avpr1b
Ctse	Ctse
Rab7b	Rab7b
Slc26a9	Slc26a9
Pm20d1	Pm20d1
Slc41a1	Slc41a1
Rab29	Rab29
Nucks1	Nucks1
Slc45a3	Slc45a3
Elk4	Elk4
Mfsd4	Mfsd4
Gm26892	Gm26892
Cdk18	Cdk18
Gm29629	Gm29629
Lemd1	Lemd1
1700037F24Rik	1700037F24Rik
Gm10188	Gm10188
Gm29630	Gm29630
Klhdc8a	Klhdc8a
Nuak2	Nuak2
F730311O21Rik	F730311O21Rik
Tmcc2	Tmcc2
Gm15849	Gm15849
Dstyk	Dstyk
Rbbp5	Rbbp5
Tmem81	Tmem81
Cntn2	Cntn2
Nfasc	Nfasc
Gm10538	Gm10538
Lrrn2	Lrrn2
Mdm4	Mdm4
Pik3c2b	Pik3c2b
Gm28609	Gm28609
Ppp1r15b	Ppp1r15b
Plekha6	Plekha6
Gm19461	Gm19461
Golt1a	Golt1a
Gm28040	Gm28040
Kiss1	Kiss1
Ren1	Ren1
Etnk2	Etnk2
Sox13	Sox13
Snrpe	Snrpe
Gm26706	Gm26706
Zc3h11a	Zc3h11a
Gm38394	Gm38394
Zbed6	Zbed6
Lax1	Lax1
Atp2b4	Atp2b4
Gm28441	Gm28441
Optc	Optc
Gm15851	Gm15851
Prelp	Prelp
Gm1627	Gm1627
Fmod	Fmod
Btg2	Btg2
Chit1	Chit1
Chil1	Chil1
Mybph	Mybph
Adora1	Adora1
Myog	Myog
Ppfia4	Ppfia4
Tmem183a	Tmem183a
4933406M09Rik	4933406M09Rik
Cyb5r1	Cyb5r1
Adipor1	Adipor1
Platr1	Platr1
Klhl12	Klhl12
Rabif	Rabif
Mgat4e	Mgat4e
Kdm5b	Kdm5b
Gm26783	Gm26783
Syt2	Syt2
Ppp1r12b	Ppp1r12b
Gm28892	Gm28892
Ube2t	Ube2t
Lgr6	Lgr6
Gm10535	Gm10535
Ptpn7	Ptpn7
Arl8a	Arl8a
Gm15445	Gm15445
Gpr37l1	Gpr37l1
Gm26642	Gm26642
Elf3	Elf3
Rnpep	Rnpep
Timm17a	Timm17a
Lmod1	Lmod1
Shisa4	Shisa4
Ipo9	Ipo9
Nav1	Nav1
Gm4793	Gm4793
Gm38399	Gm38399
Csrp1	Csrp1
Phlda3	Phlda3
Tnni1	Tnni1
Lad1	Lad1
Tnnt2	Tnnt2
Pkp1	Pkp1
Igfn1	Igfn1
Tmem9	Tmem9
Ascl5	Ascl5
Cacna1s	Cacna1s
Gm37759	Gm37759
Kif21b	Kif21b
Mroh3	Mroh3
5730559C18Rik	5730559C18Rik
Gm26568	Gm26568
A430034D21Rik	A430034D21Rik
Gm37552	Gm37552
Gm26781	Gm26781
Gpr25	Gpr25
Camsap2	Camsap2
Ddx59	Ddx59
Kif14	Kif14
Gm37799	Gm37799
Gm33994	Gm33994
4933409D19Rik	4933409D19Rik
Platr23	Platr23
Zfp281	Zfp281
Gm19705	Gm19705
Platr22	Platr22
Nr5a2	Nr5a2
